t,unnamed algorithm r,unnamed algorithm
1,-0.191106,0.229032
2,-0.187398,0.229752
3,-0.181616,0.229788
4,-0.177482,0.231336
5,-0.173595,0.233048
6,-0.168752,0.233088
7,-0.165344,0.233792
8,-0.161336,0.235592
9,-0.159647,0.234216
10,-0.157274,0.236552
11,-0.153318,0.236536
12,-0.150151,0.236748
13,-0.145569,0.236404
14,-0.140773,0.237728
15,-0.137753,0.238284
16,-0.136443,0.238508
17,-0.134458,0.238184
18,-0.132275,0.239660
19,-0.128511,0.240204
20,-0.124603,0.241192
21,-0.121601,0.240692
22,-0.119954,0.241356
23,-0.117383,0.241664
24,-0.114521,0.241852
25,-0.111995,0.241360
26,-0.109669,0.242716
27,-0.105600,0.244156
28,-0.102584,0.244504
29,-0.100396,0.245440
30,-0.097549,0.245992
31,-0.095371,0.245796
32,-0.091561,0.246044
33,-0.090777,0.246764
34,-0.088766,0.246968
35,-0.086557,0.246424
36,-0.082934,0.248008
37,-0.081252,0.246744
38,-0.078702,0.248512
39,-0.077571,0.246728
40,-0.075793,0.248888
41,-0.074384,0.248600
42,-0.073885,0.249388
43,-0.072901,0.249968
44,-0.070363,0.251000
45,-0.066623,0.249832
46,-0.065847,0.249524
47,-0.064740,0.250952
48,-0.064404,0.250056
49,-0.063705,0.249184
50,-0.062057,0.250880
51,-0.060012,0.251728
52,-0.058423,0.249948
53,-0.058324,0.250756
54,-0.056489,0.250608
55,-0.054620,0.250392
56,-0.052688,0.251988
57,-0.050649,0.252888
58,-0.050722,0.252452
59,-0.050453,0.252792
60,-0.048807,0.254360
61,-0.048402,0.253828
62,-0.047198,0.253988
63,-0.046620,0.254796
64,-0.045957,0.254508
65,-0.044669,0.255044
66,-0.042517,0.255628
67,-0.040810,0.257056
68,-0.038967,0.256544
69,-0.038285,0.257392
70,-0.037222,0.258100
71,-0.036474,0.256668
72,-0.034454,0.258140
73,-0.032171,0.256928
74,-0.031278,0.259008
75,-0.030296,0.257324
76,-0.029641,0.259196
77,-0.028497,0.258688
78,-0.028124,0.259212
79,-0.028063,0.258384
80,-0.027064,0.258640
81,-0.025243,0.258288
82,-0.025436,0.258600
83,-0.025161,0.258832
84,-0.023891,0.258708
85,-0.023609,0.259256
86,-0.021628,0.261360
87,-0.020541,0.260764
88,-0.018416,0.259600
89,-0.017608,0.260720
90,-0.016804,0.260836
91,-0.017939,0.260868
92,-0.017294,0.260956
93,-0.017012,0.260660
94,-0.016202,0.261260
95,-0.015504,0.260684
96,-0.014648,0.260000
97,-0.012896,0.262500
98,-0.011431,0.261704
99,-0.012025,0.262300
100,-0.010323,0.260320
101,-0.009717,0.262008
102,-0.008845,0.262088
103,-0.008864,0.261416
104,-0.007693,0.261944
105,-0.008220,0.261412
106,-0.006805,0.260752
107,-0.006225,0.263100
108,-0.004617,0.261544
109,-0.004125,0.262404
110,-0.003560,0.262732
111,-0.003487,0.262980
112,-0.000851,0.264344
113,-0.000546,0.262420
114,-0.002849,0.262284
115,-0.002408,0.262772
116,-0.001852,0.262620
117,-0.001375,0.263420
118,-0.001717,0.263536
119,-0.000197,0.263744
120,0.000333,0.264004
121,0.001261,0.263776
122,0.001780,0.265672
123,0.001690,0.265944
124,0.001924,0.264452
125,0.002440,0.264624
126,0.003564,0.263960
127,0.003992,0.265012
128,0.004549,0.264484
129,0.006019,0.265124
130,0.006093,0.264876
131,0.006963,0.264492
132,0.007243,0.263924
133,0.006602,0.265564
134,0.006246,0.265036
135,0.004499,0.264412
136,0.004774,0.263896
137,0.005561,0.265336
138,0.006813,0.264888
139,0.008561,0.266208
140,0.009657,0.264964
141,0.009100,0.267064
142,0.008090,0.265300
143,0.009482,0.267268
144,0.009522,0.264884
145,0.013031,0.267392
146,0.013269,0.268000
147,0.014299,0.267040
148,0.014606,0.266752
149,0.015321,0.267040
150,0.016037,0.266324
151,0.017834,0.266708
152,0.019421,0.266676
153,0.020497,0.266220
154,0.019590,0.267796
155,0.019569,0.268564
156,0.019162,0.268104
157,0.020006,0.267928
158,0.020915,0.267128
159,0.021579,0.268332
160,0.022736,0.267336
161,0.022705,0.268412
162,0.022974,0.268340
163,0.025066,0.269248
164,0.024654,0.269284
165,0.024771,0.269776
166,0.024044,0.269944
167,0.026217,0.270980
168,0.027421,0.268964
169,0.027225,0.269584
170,0.027150,0.269880
171,0.026904,0.269336
172,0.026221,0.268696
173,0.026703,0.269076
174,0.027423,0.268716
175,0.028034,0.270232
176,0.028418,0.269960
177,0.027976,0.269420
178,0.028566,0.270300
179,0.028725,0.270192
180,0.029079,0.270744
181,0.029648,0.269552
182,0.030078,0.271088
183,0.030251,0.269488
184,0.030581,0.268460
185,0.030936,0.269356
186,0.030929,0.269172
187,0.030731,0.269040
188,0.030831,0.268928
189,0.031608,0.268912
190,0.032447,0.269912
191,0.031587,0.269804
192,0.032637,0.269276
193,0.032290,0.270548
194,0.032540,0.268768
195,0.031025,0.269220
196,0.030622,0.269508
197,0.030914,0.269168
198,0.030973,0.269660
199,0.030599,0.269824
200,0.032212,0.270144
201,0.032134,0.270924
202,0.032539,0.268760
203,0.032905,0.270344
204,0.034198,0.270632
205,0.034242,0.269644
206,0.035079,0.269936
207,0.035313,0.270352
208,0.036002,0.271196
209,0.035704,0.269688
210,0.034979,0.270916
211,0.035269,0.269748
212,0.035853,0.270804
213,0.035697,0.271200
214,0.037489,0.271344
215,0.036113,0.271836
216,0.037195,0.271108
217,0.037014,0.271572
218,0.037823,0.273472
219,0.038112,0.274576
220,0.038848,0.272236
221,0.041621,0.272052
222,0.043066,0.272616
223,0.044482,0.270984
224,0.043819,0.273240
225,0.042440,0.272896
226,0.043229,0.274164
227,0.044268,0.273692
228,0.043982,0.272068
229,0.043358,0.274120
230,0.043801,0.274076
231,0.044138,0.271552
232,0.044328,0.272964
233,0.044474,0.272736
234,0.044618,0.272856
235,0.044971,0.272768
236,0.044704,0.272164
237,0.043790,0.271972
238,0.044422,0.272236
239,0.045531,0.273848
240,0.046079,0.272760
241,0.046008,0.273096
242,0.046439,0.271820
243,0.047091,0.273516
244,0.047891,0.274104
245,0.047547,0.273056
246,0.046122,0.272528
247,0.047483,0.273460
248,0.047929,0.273304
249,0.049287,0.271584
250,0.049640,0.271732
251,0.050057,0.273820
252,0.050534,0.273852
253,0.049702,0.274356
254,0.049927,0.274856
255,0.050805,0.274412
256,0.050352,0.274700
257,0.052296,0.274900
258,0.051353,0.274476
259,0.051226,0.274168
260,0.052822,0.274816
261,0.053825,0.273612
262,0.053924,0.274648
263,0.054050,0.274652
264,0.054674,0.275652
265,0.055014,0.274492
266,0.053428,0.276088
267,0.053598,0.274876
268,0.054310,0.273560
269,0.053234,0.275332
270,0.053511,0.272880
271,0.052804,0.273400
272,0.054542,0.274428
273,0.054796,0.274684
274,0.054907,0.273308
275,0.054249,0.274032
276,0.053877,0.273016
277,0.055258,0.272696
278,0.056207,0.273792
279,0.055784,0.272900
280,0.055269,0.273008
281,0.056127,0.274100
282,0.056727,0.274400
283,0.056725,0.275576
284,0.056615,0.275148
285,0.056866,0.274332
286,0.056770,0.273916
287,0.056949,0.272856
288,0.057462,0.273656
289,0.058818,0.274048
290,0.060187,0.275916
291,0.059962,0.275040
292,0.059084,0.275844
293,0.060603,0.274948
294,0.062341,0.276508
295,0.063763,0.274864
296,0.063660,0.274260
297,0.062703,0.274184
298,0.062277,0.275868
299,0.061725,0.274756
300,0.061076,0.273924
